date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:05	9138/9138	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2013:18:40%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/robots.txt		(from )
14:19:06	263863/263863	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Sep%202024%2013:18:41%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/index.html	(from )
14:19:06	542883/542883	---M--	200	added ('OK')	text/css	etag:f5b6d78d1e83c65e3dc1574ec4cb198b	https://static.bookcdn.com/build/booked/booked_hotel-page.f5b6d78d1e83c65e3dc1574ec4cb198b.css	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/static.bookcdn.com/build/booked/booked_hotel-page.f5b6d78d1e83c65e3dc1574ec4cb198b.css	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:06	51975/51975	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2021:28:02%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15491/1549171/1549171783/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15491/1549171/1549171783/1549171783.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:06	137975/137975	---M--	200	added ('OK')	image/jpeg	etag:3dd7532bf3ca6d1683df1269dade5f55	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15491/1549171/1549171783/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15491/1549171/1549171783/Sleepy-Joes-Aparthotel-London-Exterior.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:07	33965/33965	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2021:28:02%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15390/1539097/1539097129/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15390/1539097/1539097129/1539097129.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:07	88056/88056	---M--	200	added ('OK')	image/jpeg	etag:f53cc4f9b295348e25a970623daed646	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097129/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097129/Sleepy-Joes-Aparthotel-London-Exterior.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:07	38427/38427	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2021:28:02%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15390/1539097/1539097132/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15390/1539097/1539097132/1539097132.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:07	107349/107349	---M--	200	added ('OK')	image/jpeg	etag:9ffa27e25a594e72876e6a948c39e2db	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097132/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097132/Sleepy-Joes-Aparthotel-London-Exterior.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:07	69674/69674	---M--	200	added ('OK')	image/jpeg	etag:69cfe20afeaec8ac20528d964507c81f	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097135/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097135/Sleepy-Joes-Aparthotel-London-Exterior.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:08	160401/160401	---M--	200	added ('OK')	image/jpeg	etag:1ce6475bfe3286957ab58d410b194f2b	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097138/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097138/Sleepy-Joes-Aparthotel-London-Exterior.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:08	82640/82640	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2021:28:04%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/700x500/15491/1549171/1549171783/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/700x500/15491/1549171/1549171783/1549171783.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:09	24084/24084	---M--	200	added ('OK')	image/jpeg	etag:%2266f6b894-5e14%22	https://sleepyjoeslondon.hotelmix.co.uk/images/v2/483x270/room_img_v2_5.jpg	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/images/v2/483x270/room_img_v2_5.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:09	45256/45256	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2021:28:35%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/700x500/15467/1546743/1546743067/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/700x500/15467/1546743/1546743067/1546743067.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:09	48072/48072	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2013:18:45%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/15467/1546743/1546743067.JPEG:/15467/1546743/1546743037.JPEG:/15467/1546743/1546743010.JPEG:/15467/1546742/1546742929.JPEG:/15467/1546743/1546743019.JPEG:/15467/1546743/1546743061.JPEG:/15467/1546744/1546744000.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/15467/1546743/1546743067.JPEG_/15467/1546743/1546743037.JPEG_/15467/1546743/1546743010.JPEG_/15467/15467/1546744000.a.delaye	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:09	33458/33458	---M--	200	added ('OK')	image/jpeg	etag:%2266f6b894-82b2%22	https://sleepyjoeslondon.hotelmix.co.uk/images/v2/483x270/room_img_v2_4.jpg	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/images/v2/483x270/room_img_v2_4.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:09	45951/45951	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2021:28:39%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/700x500/15448/1544887/1544887618/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/700x500/15448/1544887/1544887618/1544887618.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:09	48072/48072	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2013:18:45%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/15448/1544887/1544887618.JPEG:/15448/1544887/1544887582.JPEG:/15448/1544887/1544887534.JPEG:/15448/1544887/1544887564.JPEG:/15448/1544887/1544887591.JPEG:/15448/1544887/1544887600.JPEG:/15448/1544887/1544887630.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/15448/1544887/1544887618.JPEG_/15448/1544887/1544887582.JPEG_/15448/1544887/1544887534.JPEG_/15448/15448/1544887630.d.delaye	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:10	11502/11502	---M--	200	added ('OK')	image/jpeg	etag:cb7e8e13b21a739aa2732948163a512c	https://static.bookcdn.com/build/booked/images/map-button-img.cb7e8e13b21a739aa2732948163a512c.jpg	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/static.bookcdn.com/build/booked/images/map-button-img.cb7e8e13b21a739aa2732948163a512c.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:10	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:46%20GMT	https://p.bookcdn.com/data/Photos/281x175/11847/1184724/1184724277.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/11847/1184724/1184724277.11.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:11	9736/9736	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202024%2012:53:35%20GMT	https://the-dictionary-hostel-london.booked.net/data/Photos/281x175/11847/1184724/1184724277/The-Dictionary-Hostel-Shoreditch-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/the-dictionary-hostel-london.booked.net/data/Photos/281x175/11847/1184724/1184724277/1184724277.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:11	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:47%20GMT	https://p.bookcdn.com/data/Photos/281x175/9582/958242/958242406.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/9582/958242/958242406.13.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:11	9327/9327	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202024%2012:53:35%20GMT	https://landmark-apartments-london.booked.net/data/Photos/281x175/9582/958242/958242406/Millenium-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/landmark-apartments-london.booked.net/data/Photos/281x175/9582/958242/958242406/958242406.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:12	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:48%20GMT	https://p.bookcdn.com/data/Photos/281x175/12280/1228083/1228083890.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/12280/1228083/1228083890.15.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:13	13523/13523	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2020:46:31%20GMT	https://hoxton-hotel-london.booked.net/data/Photos/281x175/12280/1228083/1228083890/The-Hoxton-Shoreditch-Hotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/hoxton-hotel-london.booked.net/data/Photos/281x175/12280/1228083/1228083890/1228083890.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:13	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:49%20GMT	https://p.bookcdn.com/data/Photos/281x175/8217/821791/821791718.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/8217/821791/821791718.17.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:13	14488/14488	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202024%2013:18:49%20GMT	https://nobu-hotel-shoreditch-london.booked.net/data/Photos/281x175/8217/821791/821791718/Nobu-Hotel-London-Shoreditch-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/nobu-hotel-shoreditch-london.booked.net/data/Photos/281x175/8217/821791/821791718/821791718.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:14	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:49%20GMT	https://p.bookcdn.com/data/Photos/281x175/13812/1381243/1381243739.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/13812/1381243/1381243739.19.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:14	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:50%20GMT	https://p.bookcdn.com/data/Photos/281x175/12740/1274054/1274054434.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/12740/1274054/1274054434.1b.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:14	16043/16043	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202024%2013:18:50%20GMT	https://m-by-montcalm-shoreditch-london-tech-city-hotel.booked.net/data/Photos/281x175/13812/1381243/1381243739/Montcalm-East-Autograph-Collection-Hotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/m-by-montcalm-shoreditch-london-tech-city-hotel/data/Photos/281x175/13812/1381243/1381243739/Montcalm-East-Autograph-Collection-Hotel-London-Exterior.1a.de	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:14	15271/15271	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2017:19:21%20GMT	https://holiday-inn-express-london-city.booked.net/data/Photos/281x175/12740/1274054/1274054434/Holiday-Inn-Express-London-City-An-Ihg-Hotel-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/holiday-inn-express-london-city.booked.net/data/Photos/281x175/12740/1274054/1274054434/1274054434.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:15	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:51%20GMT	https://p.bookcdn.com/data/Photos/281x175/8217/821757/821757851.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/8217/821757/821757851.1d.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:16	15574/15574	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202024%2013:18:51%20GMT	https://courthouse-hotel-shoreditch-london.booked.net/data/Photos/281x175/8217/821757/821757851/Courthouse-Hotel-Shoreditch-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/courthouse-hotel-shoreditch-london.booked.net/data/Photos/281x175/8217/821757/821757851/821757851.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:16	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:52%20GMT	https://p.bookcdn.com/data/Photos/281x175/12396/1239613/1239613561.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/12396/1239613/1239613561.1f.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:16	15187/15187	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Sep%202024%2017:07:41%20GMT	https://the-z-hotel-shoreditch-london.booked.net/data/Photos/281x175/12396/1239613/1239613561/The-Z-Hotel-Shoreditch-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/the-z-hotel-shoreditch-london.booked.net/data/Photos/281x175/12396/1239613/1239613561/1239613561.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:17	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:53%20GMT	https://p.bookcdn.com/data/Photos/281x175/15526/1552663/1552663684.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/15526/1552663/1552663684.21.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:17	14666/14666	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202024%2013:18:53%20GMT	https://hart-shoreditch-hotel-london-curio-collection-by-hilton.booked.net/data/Photos/281x175/15526/1552663/1552663684/Hart-Shoreditch-Hotel-London-Curio-Collection-By-Hilton-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/hart-shoreditch-hotel-london-curio-collection-by/data/Photos/281x175/15526/1552663/1552663684/Hart-Shoreditch-Hotel-London-Curio-Collection-By-Hilton-Exteri	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:17	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:53%20GMT	https://p.bookcdn.com/data/Photos/281x175/10342/1034204/1034204663.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/10342/1034204/1034204663.23.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:18	11226/11226	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202024%2013:18:53%20GMT	https://premier-inn-london-city-gb.booked.net/data/Photos/281x175/10342/1034204/1034204663/Premier-Inn-London-City-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/premier-inn-london-city-gb.booked.net/data/Photos/281x175/10342/1034204/1034204663/1034204663.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:18	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2013:18:54%20GMT	https://p.bookcdn.com/data/Photos/281x175/16030/1603029/1603029675.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/16030/1603029/1603029675.25.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:19	13932/13932	---M--	200	added ('OK')	image/jpeg	date:Sat,%2028%20Sep%202024%2013:18:54%20GMT	https://shoreditch-high-st-london.booked.net/data/Photos/281x175/16030/1603029/1603029675/Shoreditch-Place-Apartment-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/shoreditch-high-st-london.booked.net/data/Photos/281x175/16030/1603029/1603029675/1603029675.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:19	8081/8081	---M--	200	added ('OK')	text/javascript	etag:dd8218e3b9d9a9fd7cf257d27a0b8957	https://static.bookcdn.com/js/translations/translation_1.dd8218e3b9d9a9fd7cf257d27a0b8957.js	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/static.bookcdn.com/js/translations/translation_1.dd8218e3b9d9a9fd7cf257d27a0b8957.js	(from https://sleepyjoeslondon.hotelmix.co.uk/)
14:19:19	19169/19169	---M--	200	added ('OK')	text/javascript	etag:1191e5d96e608b2f5761722925498c5b	https://static.bookcdn.com/build/booked/booked_bundle.1191e5d96e608b2f5761722925498c5b.js	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20Pieter%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/static.bookcdn.com/build/booked/booked_bundle.1191e5d96e608b2f5761722925498c5b.js	(from https://sleepyjoeslondon.hotelmix.co.uk/)
