date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:30	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2017:10:06%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/1920x1080/*	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/1920x1080/_.0.delayed	(from )
18:10:31	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2017:10:07%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/1920x1080/	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/1920x1080/index.html	(from )
18:10:31	9140/9140	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2017:10:07%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/robots.txt		(from )
18:10:31	263853/263853	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2028%20Sep%202024%2017:10:07%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/index.html	(from )
18:10:32	51975/51975	U-----	200	untouched ('')	image/jpeg	date:Fri,%2027%20Sep%202024%2021:28:02%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15491/1549171/1549171783/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15491/1549171/1549171783/1549171783.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
18:10:32	137975/137975	U-----	200	untouched ('')	image/jpeg	etag:3dd7532bf3ca6d1683df1269dade5f55	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15491/1549171/1549171783/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15491/1549171/1549171783/Sleepy-Joes-Aparthotel-London-Exterior.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
18:10:32	542883/542883	U-----	200	untouched ('OK')	text/css	etag:f5b6d78d1e83c65e3dc1574ec4cb198b	https://static.bookcdn.com/build/booked/booked_hotel-page.f5b6d78d1e83c65e3dc1574ec4cb198b.css	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/static.bookcdn.com/build/booked/booked_hotel-page.f5b6d78d1e83c65e3dc1574ec4cb198b.css	(from https://sleepyjoeslondon.hotelmix.co.uk/)
18:10:32	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2017:10:08%20GMT	https://p.bookcdn.com/data/Photos/281x175/11847/1184724/1184724277.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/11847/1184724/1184724277.12.delayed	(from https://sleepyjoeslondon.hotelmix.co.uk/)
18:10:32	33965/33965	U-----	200	untouched ('')	image/jpeg	date:Fri,%2027%20Sep%202024%2021:28:02%20GMT	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15390/1539097/1539097129/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/450x450/15390/1539097/1539097129/1539097129.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
18:10:32	4/4	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Sep%202024%2017:10:08%20GMT	https://p.bookcdn.com/data/Photos/281x175/9582/958242/958242406.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/p.bookcdn.com/data/Photos/281x175/9582/958242/958242406.JPEG	(from https://sleepyjoeslondon.hotelmix.co.uk/)
18:10:32	88056/88056	U-----	200	untouched ('')	image/jpeg	etag:f53cc4f9b295348e25a970623daed646	https://sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097129/Sleepy-Joes-Aparthotel-London-Exterior.JPEG	C:/My%20Web%20Sites/Copy%20of%20the%20Website%20he%20wants%20me%20to%20copy%20(I%20forgot%20the%20name)/sleepyjoeslondon.hotelmix.co.uk/data/Photos/OriginalPhoto/15390/1539097/1539097129/Sleepy-Joes-Aparthotel-London-Exterior.jpg	(from https://sleepyjoeslondon.hotelmix.co.uk/)
